primary_pattern,question_count
Backward Pointer Scan,2
Binary Lifting (Sparse Table),2
Closure,2
Gaps and Islands (Row Number Difference),2
Hierholzer's Algorithm (Eulerian Path),2
LCA (Lowest Common Ancestor),2
Single-Pass Flagging,2
Single-Pass Linear Scan,2
Two Min-Heaps (Priority Queues),2
2D-to-1D Reduction,1
8-Directional Raycasting from Move,1
"Accumulating Closure Scopes (Each timeout creates a new closure, potentially keeping old variables in memory longer)",1
Amortized Linear Scan / Precomputation,1
Angular Sweep / Fixed Circle Centers,1
Arithmetic Computation,1
Array Grouping by Set Bits,1
Array Indexing (Direct Access),1
Array Length Property (`this.length`),1
Array modification tracking (snapshotting the entire array state at each simulated step),1
Backwards Traversal (Target to Start),1
Base 3 Representation (Ternary Logic),1
Bi-directional Linear Scan with Last-Seen Map. O(N,1
Binary Exponentiation,1
Binary Exponentiation (Fast Power),1
Binary Offset Mapping,1
Blocking Main Thread (Visualizing the CPU stuck in a loop waiting for the async task),1
Boolean Array,1
Boolean Indexing: df[df['id'] == 101],1
Boundary Contraction,1
Boundary Shrinking,1
Brainteaser / Logical Deduction,1
Brute Force (Small Constraints),1
Brute Force / Constraint Optimization,1
Brute Force Path Memory (Storing every conceivable route configuration simultaneously),1
Brute Force with Early Exit (Small Constraints),1
Buffer Scan (Visualizing the database engine reading the text column repeatedly for each word),1
Buffered Chunk Processing with Bound Checking,1
COUNT(DISTINCT customer_id),1
Chained Operations: df.loc[...].sort_values(...)[['name']],1
"Chebyshev Distance (Max of ΔX, ΔY)",1
Closure / Higher-Order Function,1
Column-Wise Linear Scan,1
Column-Wise Max Pre-calculation,1
"Combinatorial Construction. Generate palindromes directly by mirroring the ""first half"" of the binary bits",1
Combinatorial Row Storage (Visualizing all row combinations in memory),1
Compare Current vs Next,1
Concurrency: 3 Semaphores,1
Concurrency: Mutexes / Semaphores / Promises,1
Concurrency: Two Alternating Semaphores,1
Condition Variables / Semaphores,1
Contribution of Each Character (Index tracking),1
Convex Hull,1
Coordinate Mapping (Direct Indexing),1
Coordinate Mapping (Precomputation),1
Coordinate Min-Max Comparison,1
Coordinate Rotation (Chebyshev Transformation),1
Corner Count Set,1
"Cross Product (Orientation) For every three consecutive points, calculate the cross product. All cross products must have the same sign (all positive or all negative)",1
Custom Comparator / Partitioning,1
Cycle Decomposition (Permutation Theory),1
Date Filtering,1
Days Since Epoch (1971) Calculation,1
Direct Comparison / O(1) Access,1
Direct Index Mapping (One-Pass),1
Direct Indexing Compare `words[i].charAt(j)` with `words[j].charAt(i)` with boundary checks,1
Direct Integer Accumulation,1
Direct Linear Scan with Set Lookup,1
Direct Mapping,1
Direct SQL WHERE Clause,1
Divisor Iteration,1
Double In-place Reversal (Reverse Whole,1
Double Logarithmic Loop (Logarithmic Bounds),1
Double Loop with Square Root Check,1
Dual-Map Bijection or Pattern Normalization,1
Dynamic Prefix Maximum & Max-Difference Tracking,1
Dynamic SQL / Information Schema,1
Early Exit Iterator,1
Early-Exit Linear Comparison,1
Edge-Centric,1
Enumeration by Zero-Count (O(N√N)),1
Execution Context Overhead (Visualizing the engine creating and destroying complex scopes for every iteration),1
Exhaustive Heatmap Search (Brute Force),1
Exponential State Memory (Visualizing the storage of all valid subarray combinations),1
Exponential State Search (Visualizing all possible combinations of powers being summed),1
Fast Fourier Transform (FFT) or Karatsuba,1
Fast and Slow Pointers,1
Filtered Select with Null Handling,1
"Find Dip, Swap, Reverse",1
"Finding Bound Indices (Last 1, First 3)",1
First/Last Index Pre-computation,1
Fisher-Yates Shuffle Algorithm,1
Fixed-Window Sliding (Multiple Passes),1
Floating Closure Memory (The callback and its lexical environment stay in memory until the timer naturally finishes),1
Function with Local Variable Offset (N-1) and LIMIT,1
Function.prototype.apply / Symbol Key,1
Generators (`yield`),1
Global Bounding Box Scan,1
Global Sum Maintenance (Delta Tracking),1
Group Consecutive Counts,1
Grouping by Vowel Count,1
IN Clause with Multi-Column Key,1
In-Degree Accumulator (Array),1
In-Order Flattening,1
In-Order Traversal (Sorted Property),1
In-Order Traversal (natively sorted),1
"In-Place ""Leapfrog"" Reversal",1
In-Place Group Iteration & Re-linking,1
In-Place In-order Maintain a `first` and `last` pointer. Connect `last.right = current` and `current.left = last` during traversal,1
In-Place Iterative Reduction,1
In-Place Link Manipulation,1
In-Place Pointer Reversal,1
In-Place Pointer Splicing,1
In-Place State Marking,1
In-order Traversal with In-place Re-linking,1
In-place Array Mutations (Visualizing the CPU repeatedly writing to memory for every range update),1
In-place Array Transformation,1
"In-place Marking For each number x, go to index |x|-1 and flip the value to negative. If already negative, it's a duplicate",1
"In-place Negation For each value x, treat |x|-1 as an index and make the value at that index negative. Positives remaining are the gaps",1
In-place array mutations (Unnecessary write operations to memory),1
In-place modification of Character Array,1
In-place row swapping within the specified submatrix boundaries,1
Index Mapping,1
Index-as-Hash / Negation Marker,1
Information Theory (N-Dimensional Hypercube) Each pig represents a dimension. The number of states a pig can have is (Tests,1
Integer State Mutation (Visualizing the variables main and additional changing over time),1
Intermediate Array Allocation (Visualize a potentially massive array of strings being created in memory just for a boolean check),1
"Inverse Transform (Polar) Generate theta in [0, 2π] and r = R √{rand()}. The square root is crucial for uniform density",1
Iterative Accumulator Update,1
Iterative Brute Force (Optimized Range),1
Iterative Cleanup,1
Iterative Comparison,1
Iterative In-order Traversal with Early Stop,1
Iterative Mapping (New Array),1
Iterative New Array Push,1
Iterative Pointer Manipulation (Bottom-Up Logic),1
Iterative Pointer Mutation (Visualizing the CPU cycle overhead for millions of small increments),1
Iterative Slicing (Step = Size),1
JavaScript Generators & Promises,1
JavaScript Prototype Chain Traversal,1
JavaScript Proxy (`get` trap),1
LCP Array (Longest Common Prefix) / Z-Algorithm,1
LIS (Longest Increasing Subsequence),1
Lexical Scope / Closures,1
Linear Algebra (System of Equations),1
Linear Array Scanning,1
Linear Boundary Comparison,1
Linear Count Tracker,1
Linear Memory Scan (Visualizing the CPU reading the entire marbles array for every single instruction),1
Linear One-Pass Update,1
Linear Row Scan,1
Linear Scan (Max Property Observation),1
Linear Scan (Min/Max Tracking),1
Linear Scan / Substring Search,1
Linear Scan of Adjacent Elements,1
Linear Scan with State Tracker,1
Linear Search Overhead (Visualizing indexOf being called repeatedly),1
Linear Search Pointers (Drawing the search range for every individual query),1
Linear Traversal (Bidirectional),1
Linear loop checking `nums[i]-nums[i-1]`,1
List Maintenance,1
Local Incremental Update,1
Logical Comparison of First Two Edges,1
Logical Invariance (Existence of '1'),1
Longest Common Substring (LCS Variant),1
Look-Ahead (Caching),1
Loop pointers footprint (Draw i and j pointers constantly jumping back and forth across an array),1
Lowest Common Ancestor (LCA),1
Lowest Common Ancestor (LCA) with Binary Lifting,1
Manacher's Algorithm,1
Massive String Reallocations (Immutable strings mean creating a brand new string in memory for every deletion),1
"Maximum Flow / Bipartite Matching. Model robots as one set of nodes, walls as another, and find the maximum matching/coverage",1
Median,1
Median Property (Independent Dimensions),1
Middle Character Extraction,1
Min-Cost Flow / Hungarian Algorithm,1
Min-Max Coordinate Tracking,1
Min/Max Tracking,1
Minimal Memory (Only tracking unique category representatives),1
Minimal Variable State (Only index i),1
Minimax / Information Theory (Heuristic Guessing),1
Minimum Boundary Tracking,1
Mismatch Index Comparison,1
Native Pandas Constructor (Vectorized Internal Logic),1
Nested Char Loops,1
Net Shift Calculation,1
Network Socket Overload (Visualizing multiple open connections consuming system file descriptors),1
Next Permutation Algorithm (Linear Scan),1
Next Permutation Algorithm (Suffix Reversal),1
Next Permutation Algorithm on the first half,1
Next Permutation on Half-String,1
Number Theory (Greatest Common Divisor),1
O(1) State Variables (Draw one sum and one i),1
O(N^2) 2D Array Allocation (Massive memory waste for large N),1
ORDER BY Multiple Columns,1
One-Pass Min-Max Tracking,1
One-Pass Neighbor Comparison,1
One-Pass Precomputation,1
One-Pass Running Maximum,1
One-Pass String Comparison,1
One-Pass with Toggle/Previous Tracking,1
Optimized Linear Scan (Early Exit),1
Parity Logic (Difference is even iff Total Sum is even). O(N),1
Parity Summation,1
Partition Memory Sets (Visualizing two massive separate heaps for every single partition attempt),1
Pattern Canonicalization / Hashing,1
Pattern Categorization (6-Segment Window),1
"Pattern Searching (Presence of ""01"")",1
Permutation Validation (Fixed Size),1
Persistent Pointer (Amortized Analysis),1
Polynomial Class / Map of Term-to-Coefficient,1
Pre-allocation,1
Pre-evaluated Boolean Variables mapping to strict logic combinations,1
"Pre-mapped Char-to-Row Create a Map or Array of size 26 where `row[char]` is 1, 2, or 3. Check if all chars in a word return the same row ID",1
Pre-processing (Index Collection),1
Precomputation (Prefix Products),1
Precomputation (RowithCol Sum Arrays),1
"Precompute ""Longest Decreasing"" from left and ""Longest Increasing"" from right for every index",1
Precomputed Row-Mins and Col-Maxes,1
Prefix & Suffix Arrays,1
Prefix & Suffix Arrays (State Tracking),1
Prefix & Suffix Products (Flattened 2D to 1D),1
Prefix Expansion / Direct String Construction,1
Prefix Manipulation,1
Prefix Max & Suffix Min,1
Prefix Max & Suffix Min Pass,1
Prefix Max / Suffix Max Arrays,1
Prefix Max and Suffix Min Arrays,1
Prefix Maximum & Suffix Maximum (or Pre-calculation),1
Prefix Min & Suffix Min Arrays,1
Prefix Min & Suffix Min Arrays (Identical to 2908),1
Prefix Product Array with Zero-Reset,1
Prefix and Suffix Accumulators,1
Prefix and Suffix Counts. Count existing '0's and '1's. Inserting '0' at the start pairs with all existing '1's. Inserting '1' at the end pairs with all existing '0's,1
Prefix and Suffix Precomputation Arrays,1
"Prefix and Suffix Sums. Precalculate even/odd sums. When you ""remove"" an element, the suffix even/odd sums simply swap roles!",1
Prepared Statements / Dynamic SQL,1
Preprocessing (RowithCol Sums),1
Promise.allSettled Polyfill,1
Promise.race() with Timer,1
Promises,1
Proxy,1
Range Narrowing (Iterative Intersection). O(N),1
Redundant Array Rotation Buffers (Storing the state of the array for every single shift),1
Redundant Decision Paths (Visualizing same wall counts being re-calculated in different branches),1
Redundant Min/Max Scans (Drawing a search arrow within every window),1
Resource Hierarchy / Semaphores,1
Reverse In-Order Traversal (Right → Root → Left),1
Reverse In-order Traversal (Right -> Root -> Left),1
Reverse Linear Scan,1
Reverse Linear Scan (Right-to-Left),1
"Reverse Traversal Start from the end of the string. Collect K characters, add a dash, and repeat. Reverse the result at the end",1
Revert Half the Number,1
Right Max Array,1
Right-Spine Insertion,1
Right-to-Left Array Reduce,1
Right-to-Left Monotonic Scan,1
"Row Max, Column Max, and Non-Zero Count",1
Row-by-Row Comparison Buffer (Visualizing the SQL engine re-scanning the bookings table for every single record),1
Row-by-Row Memory Copy (Intermediate tables filling up Cartesian space),1
Row-wise Iteration (Simple Scan),1
Running Maximum Comparison,1
Running Maximum Property,1
SELECT DISTINCT,1
SQL DATE_FORMAT() function,1
SQL IS NULL,1
SQL LEAST() and GREATEST() Functions,1
SQL LIKE Operator / String Matching,1
SQL Length Function (LENGTH/CHAR_LENGTH),1
SQL Logical Indexing (`AND` condition),1
"SQL String Functions (CONCAT, LEFT) running directly on the database engine",1
SQL UNION ALL (Unpivoting),1
Semaphores,1
Serialized Memory Wait (The closure for the addition waits twice),1
Set Size vs. Half-Length Comparison,1
Shunting Yard Algorithm / Two Stacks (Operands & Operators),1
Simple Iteration (Small Constraints),1
Simple Linear Scan,1
Simple WHERE clause with OR,1
Single Pass,1
Single Pass (In-Place),1
Single Pass (Shared Edge) Count land cells x 4. Subtract 2 for every shared edge (horizontal or vertical neighbor),1
Single Pass (Space Detection),1
Single Pass / Linear Indexing,1
Single Pass / Offset Comparison,1
Single Pass / State Tracking (Current Streak),1
Single Pass Bound Check. O(N),1
Single Pass Comparison (Pythagorean Theorem),1
Single Pass Contraction Check,1
Single Pass Count Iterate through characters. Count a segment whenever you see a non-space character that follows a space (or is at index 0),1
Single Pass First-Occurrence Map,1
Single Pass Linear Scan,1
Single Pass Max Tracking,1
Single Pass Minimum Tracking,1
Single Pass State Toggle,1
Single Pass State Tracking,1
Single Pass Streaming Maximum (King of the Hill),1
Single Pass with Lookahead (In-Place),1
Single Pass with Running Minimum (Prefix Min),1
Single Pass with Three-Node Window,1
Single Pointer Iteration (count spaces and substring once),1
Single-Pass Array Mapping,1
Single-Pass Constant Space Scan,1
Single-Pass Early Exit,1
Single-Pass Filtering,1
Single-Pass Index Mapping,1
Single-Pass Index Traversal (Step K),1
Single-Pass Level Accumulation,1
Single-Pass Max & Second Max Tracking,1
Single-Pass Parity Check,1
Single-Pass Pointer Distance,1
Single-Pass Pointer Scan,1
Single-Pass Range Intersection,1
Single-Pass Reverse Scan (Right-to-Left Pointer),1
Single-Pass Scalar Tracking,1
Single-Pivot Circularity Check,1
Single-pass: Find the first and last occurrence of different words. The max distance is either LastIndex - FirstIndex or LastIndex - SecondFirstIndex,1
Sliding Boundary Pointers,1
SlowithFast Pointers,1
Square Root Decomposition (Block separation),1
Square Root Divisor Hunt,1
Square-Free Part Grouping,1
Standard Library formatting (bin/format),1
Standardization via Pre-filtering,1
Start at Square Root Start W at lfloor√{N}rfloor and decrement until N % W == 0. This ensures L and W are as close as possible,1
State Array Snapshots (Drawing the entire array state for every microscopic time increment),1
State Tracking (Parity / Flip Count),1
String Comparison (In-place `startsWith`),1
String Comparison / Line Overlap,1
"String Doubling Trick Concatenate S+S. Remove the first and last characters. If S is still a substring of the result, it has a repeated pattern",1
String Functions,1
String Mutation Buffer (Visualizing repeated string recreations for each swap in languages with immutable strings),1
String Predicate Filtering,1
String Slicing / Cyclic Shift,1
String Split,1
Substring Slicing,1
Suffix Array Traversal (Right-to-Left Scan),1
Suffix Sum of Shifts,1
Symmetric Construction (Pairing),1
Symmetry Grouping (2x2 Blocks,1
Synchronization (Mutex/Locking),1
Synchronization (Semaphores / Mutex,1
Targeted Filter,1
Temporal State Snapshots (Visualizing the position of every robot at every tick of time),1
Temporary Object Accumulation (Creating massive amounts of intermediate merged objects),1
Temporary Property Allocation (Mutation of the target object),1
The Circular Link (Ring),1
The Reversal Algorithm,1
Three-Phase Linear Scan,1
Tokenization,1
Top-3 Length Tracking per Character,1
"Top-3 Variables Keep `first`, `second`, `third` initialized to -Infinity. Update them sequentially as you iterate O(N)",1
Trust Score Array (In-Degree vs Out-Degree),1
Two Heaps (Priority Queues) / TreeSet,1
Two Passes (Prefix and Suffix) using Max-Heaps of size K,1
Two Queues (Enter and Exit) with State Tracking,1
"Two Queues (R_index, D_index)",1
"Two Stacks (Amortized O(1) - ""Lazy Transfer"")",1
Two Stacks (Predecessor & Successor),1
Two Stacks / Gap Buffer,1
Two Stacks Push all nodes of both lists onto two stacks. Pop from both to add from right-to-left,1
Two-Pass / Prefix Tracking,1
Two-Pass Inclusion/Exclusion (At-Most K),1
Two-Pass Linear Traversal (Head-to-Tail),1
Two-Pass Min-Sweep (Left-to-Right,1
Two-Pass Monotonic Logic (Min/Max Tracking),1
Two-Way Summation (Circular Array),1
Two-way expansion from 'start' index,1
UNION of two filtered sets,1
Update-History Log (Inverse Search),1
Vectorized Assignment: df['bonus'] = df['salary'] * 2,1
Visited Set / In-Place Marking,1
WHERE clause filtering directly in SQL engine,1
Win-Condition Invariance Check,1
Wormhole Teleportation (O(N) Pre-matching),1
Z-Algorithm,1
Z-Algorithm (Prefix & Suffix Matching),1
Zeller's Congruence / Sum of Days,1
df.drop_duplicates(subset=['id']),1
df.dropna(subset=['name']),1
df.head(3) (Slicing),1
"df.melt(id_vars=['product'], ...)",1
"df.pivot(index='month', columns='city', values='temperature')",1
df.rename(columns={...}),1
df.shape Attribute Access,1
df['grade'].astype(int),1
df['quantity'].fillna(0),1
"pd.concat([df1, df2])",1
setTimeout,1
valueOf() and toString() Overriding,1
